Date,Open,High,Low,Close,Adj Close,Volume
01-01-2020,1790.199951,1802.550049,1783.199951,1793.199951,1743.498413,397285
02-01-2020,1791,1799.900024,1783.400024,1790.650024,1741.019165,411266
03-01-2020,1779.800049,1779.800049,1747.050049,1751.400024,1702.857178,1318628
06-01-2020,1737.949951,1738,1694,1707.150024,1659.833374,1871804
07-01-2020,1711,1740.5,1711,1724.400024,1676.605713,1033650
08-01-2020,1696,1736,1695,1728.800049,1680.883545,1006057
09-01-2020,1763,1775,1741,1772.550049,1723.421021,1781733
10-01-2020,1772,1797.300049,1760,1792.550049,1742.866577,1256612
13-01-2020,1799,1807.949951,1794.349976,1804.900024,1754.874268,823821
14-01-2020,1805,1821.650024,1804.800049,1819.150024,1768.72937,775629
15-01-2020,1817.5,1845,1810.099976,1842.25,1791.188965,1252925
16-01-2020,1835.949951,1848,1828.75,1835.150024,1784.285767,1031569
17-01-2020,1835.599976,1838.900024,1815,1830.050049,1779.327026,862204
20-01-2020,1838,1862.25,1833.599976,1848.75,1797.508911,1091453
21-01-2020,1839.949951,1842.550049,1793.849976,1810.75,1760.562134,2101561
22-01-2020,1815,1818.699951,1766.849976,1779.25,1729.935059,3415306
23-01-2020,1779,1789,1757.099976,1776.099976,1726.872437,1885275
24-01-2020,1783.650024,1799.900024,1780.25,1786.800049,1737.275879,1195596
27-01-2020,1787,1805.75,1780,1788.349976,1738.782837,969054
28-01-2020,1794,1794,1773,1779.099976,1729.789307,873291
29-01-2020,1787,1803.849976,1781,1796.949951,1747.144531,873805
30-01-2020,1800,1808.900024,1786,1805,1754.971558,1005975
31-01-2020,1810,1824,1788.699951,1795.650024,1745.880615,1169614
03-02-2020,1768.800049,1872.900024,1765,1867.650024,1815.885132,2854532
04-02-2020,1870,1896.75,1855.050049,1891.300049,1838.879639,1830049
05-02-2020,1889,1890,1866.150024,1873.5,1821.572876,1344016
06-02-2020,1878,1882.400024,1845,1856.800049,1805.335815,995386
07-02-2020,1856.800049,1876.5,1850.599976,1858.699951,1807.182983,632858
10-02-2020,1867,1872.75,1837.199951,1869.5,1817.683594,747711
11-02-2020,1880,1894.5,1872.75,1878.099976,1826.045288,1093021
12-02-2020,1880,1916.699951,1878.199951,1893.699951,1841.213013,1616826
13-02-2020,1889,1901.949951,1868.050049,1874.050049,1822.107666,638878
14-02-2020,1876.5,1899.650024,1870,1877.050049,1825.024414,771464
17-02-2020,1879.900024,1893.5,1870.599976,1881.400024,1829.253906,676579
18-02-2020,1879.900024,1879.900024,1861,1863.650024,1811.99585,683421
19-02-2020,1870.099976,1892.75,1851.349976,1884.900024,1832.657227,723351
20-02-2020,1883,1886,1839.050049,1842.25,1791.188965,1401879
24-02-2020,1845.25,1853,1814,1818.949951,1768.53479,1310832
25-02-2020,1838.400024,1843.550049,1820.199951,1826.099976,1775.486572,897257
26-02-2020,1826,1845,1820,1826.650024,1776.021362,1909619
27-02-2020,1829.849976,1852,1810.449951,1843.800049,1792.696289,1643273
28-02-2020,1820,1842.099976,1783.150024,1797.949951,1748.117065,2964119
02-03-2020,1815.099976,1837.449951,1769.25,1786.800049,1737.275879,1219296
03-03-2020,1780.050049,1818,1767,1800.550049,1757.678467,1392463
04-03-2020,1804.050049,1857.449951,1804.050049,1847.949951,1803.949707,3050469
05-03-2020,1854,1882,1852.099976,1874.449951,1829.818604,2062439
06-03-2020,1840,1884.400024,1835,1877.449951,1832.74707,1393659
09-03-2020,1888,1915.900024,1848,1867.150024,1822.692505,3420741
11-03-2020,1874.949951,1905,1851.5,1882.849976,1838.018799,3194186
12-03-2020,1864.949951,1874.800049,1815,1843.349976,1799.459229,6254349
13-03-2020,1785,1843.75,1669.849976,1797.699951,1754.896118,3878300
16-03-2020,1777,1777,1678.150024,1683.400024,1643.317749,2867336
17-03-2020,1699,1779.800049,1670,1731.599976,1690.369873,2643189
18-03-2020,1732,1758.550049,1608,1618.199951,1579.670044,3676437
19-03-2020,1540,1653.949951,1431.199951,1601.199951,1563.074707,4906644
20-03-2020,1610,1757.400024,1570.550049,1742.949951,1701.449585,3128629
23-03-2020,1578.599976,1650,1490.75,1498.449951,1462.771362,2155326
24-03-2020,1556.550049,1598,1453.25,1524.849976,1488.542969,3910566
25-03-2020,1446.550049,1605.349976,1446,1593.150024,1555.216431,2196415
26-03-2020,1605,1650,1574,1616.949951,1578.449829,2622118
27-03-2020,1664.800049,1665.25,1550.199951,1604.150024,1565.954468,2102479
30-03-2020,1591.150024,1619.5,1559.050049,1594.949951,1556.973633,1844011
31-03-2020,1625,1690,1601.800049,1666.5,1626.820068,2789174
01-04-2020,1650.050049,1655,1584.25,1603.199951,1565.027222,1559455
03-04-2020,1615.099976,1616,1517.25,1520.900024,1484.686768,2925847
07-04-2020,1540,1635,1538,1623.800049,1585.136841,2733586
08-04-2020,1623.800049,1687.800049,1600,1608.949951,1570.640259,2382213
09-04-2020,1640,1678.900024,1618.949951,1651.349976,1612.030762,1489539
13-04-2020,1646,1703.650024,1602.849976,1680.849976,1640.828125,2586159
15-04-2020,1703.650024,1736.75,1683.800049,1718.199951,1677.289063,2508270
16-04-2020,1691,1752.300049,1684.75,1743.099976,1701.595947,1821296
17-04-2020,1763,1783.699951,1727.099976,1756.25,1714.432861,1398686
20-04-2020,1758.25,1758.650024,1705.650024,1730.449951,1689.247437,1431055
21-04-2020,1710,1753.949951,1700,1726,1684.903442,1594930
22-04-2020,1717.099976,1822,1712.25,1813,1769.831787,3727805
23-04-2020,1807,1845.400024,1801.050049,1821.650024,1778.275879,2573552
24-04-2020,1815.050049,1842.800049,1814,1827.550049,1784.035278,2744768
27-04-2020,1840,1859.800049,1818.099976,1851.349976,1807.268677,1770889
28-04-2020,1847.199951,1864,1806.300049,1824.400024,1780.960327,1934910
29-04-2020,1846.900024,1847,1755.900024,1767.5,1725.415161,2931120
30-04-2020,1795,1797,1741,1758.699951,1716.824707,2926333
04-05-2020,1718,1751,1671.5,1676.800049,1636.874756,2942397
05-05-2020,1681,1692.900024,1578.25,1619.150024,1580.59729,5867890
06-05-2020,1615,1638.699951,1577,1610.650024,1572.299805,3937921
07-05-2020,1609.949951,1628.699951,1545.199951,1594.300049,1556.339355,5256213
08-05-2020,1611.800049,1638,1570,1578.400024,1540.817749,5644426
11-05-2020,1583,1599,1555,1569.599976,1532.227295,3767646
12-05-2020,1539,1543.75,1512,1523.349976,1487.078369,4504073
13-05-2020,1579.800049,1579.800049,1533.349976,1563.300049,1526.077271,2940514
14-05-2020,1553.300049,1557.599976,1517,1522.400024,1486.151245,2592264
15-05-2020,1529,1560,1510,1552.949951,1515.973633,2860493
18-05-2020,1558,1558.550049,1498.099976,1501.099976,1465.358154,2871905
